MTD_org	=	1,	2333,	50,	33,	91,	0.3626373626373626
nonpv_reduction_lmr2_2	=	2,	2322,	36,	22,	60,	0.36666666666666664
nonpv_reduction_lmr1_6	=	3,	2320,	34,	20,	46,	0.43478260869565216
nonpv_qsearch_use_queen_material_margin	=	4,	2320,	34,	20,	50,	0.4
nonpv_qsearch_store_tpt_scores	=	5,	2318,	38,	18,	60,	0.3
pv_reduction_lmr2_7	=	6,	2314,	32,	14,	54,	0.25925925925925924
nonpv_pruning_futility	=	7,	2314,	32,	14,	50,	0.28
pv_qsearch_use_queen_material_margin	=	8,	2313,	32,	13,	55,	0.23636363636363636
pv_reduction_lmr2_2	=	9,	2312,	34,	12,	62,	0.1935483870967742
LKG	=	10,	2309,	34,	9,	63,	0.14285714285714285
nonpv_reduction_lmr1_4	=	11,	2309,	34,	9,	45,	0.2
nonpv_reduction_lmr2_3	=	12,	2309,	32,	9,	57,	0.15789473684210525
nonpv_qsearch_move_checks	=	13,	2309,	34,	9,	33,	0.2727272727272727
pv_pruning_null_move	=	14,	2308,	34,	8,	74,	0.10810810810810811
pv_pruning_mate_distance	=	15,	2307,	34,	7,	55,	0.12727272727272726
pv_qsearch_use_see	=	16,	2307,	36,	7,	53,	0.1320754716981132
pv_qsearch_store_tpt_scores	=	17,	2306,	32,	6,	32,	0.1875
pv_reduction_lmr1_3	=	18,	2305,	34,	5,	61,	0.08196721311475409
pv_reduction_lmr2_6	=	19,	2305,	34,	5,	43,	0.11627906976744186
nonpv_qsearch_use_see	=	20,	2305,	36,	5,	63,	0.07936507936507936
nonpv_reduction_lmr1_2	=	21,	2303,	34,	3,	71,	0.04225352112676056
nonpv_pruning_null_move	=	22,	2302,	34,	2,	46,	0.043478260869565216
nonpv_reduction_lmr2_7	=	23,	2302,	32,	2,	34,	0.058823529411764705
pv_optimization_tpt_scores	=	24,	2301,	32,	1,	63,	0.015873015873015872
pv_reduction_lmr1_2	=	25,	2301,	34,	1,	65,	0.015384615384615385
pv_reduction_lmr1_7	=	26,	2301,	32,	1,	43,	0.023255813953488372
nonpv_optimization_tpt_scores	=	27,	2301,	34,	1,	61,	0.01639344262295082
pv_reduction_lmr1_4	=	28,	2300,	34,	0,	76,	0.0
nonpv_pruning_mate_distance	=	29,	2300,	34,	0,	60,	0.0
nonpv_reduction_lmr2_1	=	30,	2300,	34,	0,	60,	0.0
nonpv_qsearch_optimization_tpt_scores	=	31,	2300,	32,	0,	56,	0.0
pv_reduction_lmr2_3	=	32,	2299,	34,	-1,	37,	-0.02702702702702703
pv_reduction_lmr2_5	=	33,	2299,	32,	-1,	47,	-0.02127659574468085
pv_qsearch_pruning_mate_distance	=	34,	2299,	36,	-1,	51,	-0.0196078431372549
nonpv_reduction_lmr2_6	=	35,	2299,	36,	-1,	57,	-0.017543859649122806
nonpv_reduction_lmr2_5	=	36,	2298,	32,	-2,	34,	-0.058823529411764705
pv_reduction_lmr1_5	=	37,	2296,	32,	-4,	44,	-0.09090909090909091
pv_reduction_lmr1_6	=	38,	2296,	34,	-4,	48,	-0.08333333333333333
pv_reduction_lmr1_100	=	39,	2295,	34,	-5,	47,	-0.10638297872340426
nonpv_reduction_lmr1_7	=	40,	2295,	32,	-5,	61,	-0.08196721311475409
pv_reduction_lmr2_4	=	41,	2292,	34,	-8,	54,	-0.14814814814814814
pv_qsearch_optimization_tpt_scores	=	42,	2292,	36,	-8,	62,	-0.12903225806451613
nonpv_qsearch_pruning_mate_distance	=	43,	2292,	34,	-8,	58,	-0.13793103448275862
LKG6	=	44,	2291,	34,	-9,	57,	-0.15789473684210525
nonpv_reduction_lmr1_3	=	45,	2291,	32,	-9,	49,	-0.1836734693877551
nonpv_reduction_lmr2_4	=	46,	2291,	34,	-9,	55,	-0.16363636363636364
nonpv_reduction_lmr1_100	=	47,	2289,	32,	-11,	53,	-0.20754716981132076
LKG3	=	48,	2288,	34,	-12,	62,	-0.1935483870967742
pv_qsearch_move_checks	=	49,	2288,	32,	-12,	42,	-0.2857142857142857
LKG2	=	50,	2284,	32,	-16,	58,	-0.27586206896551724
nonpv_reduction_too_good_scores	=	51,	2283,	34,	-17,	55,	-0.3090909090909091
nonpv_reduction_lmr1_5	=	52,	2283,	34,	-17,	61,	-0.2786885245901639
pv_reduction_lmr2_1	=	53,	2279,	34,	-21,	45,	-0.4666666666666667
LKG1	=	54,	2278,	34,	-22,	56,	-0.39285714285714285
LKG0	=	55,	2247,	34,	-53,	71,	-0.7464788732394366
