MATERIAL_PAWN_O-1.00	=	1,	2364,	88,	64,	164,	0.3902439024390244
ORG	=	2,	2359,	86,	59,	165,	0.3575757575757576
MATERIAL_QUEEN_E+1.00	=	3,	2354,	82,	54,	170,	0.3176470588235294
PST_QUEEN_O+1.00	=	4,	2345,	80,	45,	141,	0.3191489361702128
PST_QUEEN_O-1.00	=	5,	2345,	80,	45,	163,	0.27607361963190186
PST_KING_O+1.00	=	6,	2344,	84,	44,	152,	0.2894736842105263
PST_BISHOP_O-1.00	=	7,	2344,	86,	44,	150,	0.29333333333333333
PST_KING_O-1.00	=	8,	2343,	80,	43,	141,	0.3049645390070922
PST_BISHOP_O+1.00	=	9,	2342,	80,	42,	162,	0.25925925925925924
PST_BISHOP_E-1.00	=	10,	2337,	80,	37,	133,	0.2781954887218045
PST_PAWN_O+1.00	=	11,	2335,	82,	35,	167,	0.20958083832335328
MATERIAL_QUEEN_O+1.00	=	12,	2334,	80,	34,	146,	0.2328767123287671
PST_KING_E+1.00	=	13,	2331,	80,	31,	153,	0.20261437908496732
PST_KING_E-1.00	=	14,	2328,	80,	28,	134,	0.208955223880597
PST_ROOK_O+1.00	=	15,	2328,	80,	28,	130,	0.2153846153846154
PST_ROOK_O-1.00	=	16,	2327,	80,	27,	147,	0.1836734693877551
PST_BISHOP_E+1.00	=	17,	2326,	80,	26,	140,	0.18571428571428572
PST_PAWN_O-1.00	=	18,	2324,	82,	24,	172,	0.13953488372093023
PST_KNIGHT_E-1.00	=	19,	2322,	80,	22,	152,	0.14473684210526316
MATERIAL_PAWN_O+1.00	=	20,	2316,	84,	16,	164,	0.0975609756097561
PST_KNIGHT_O+1.00	=	21,	2310,	80,	10,	144,	0.06944444444444445
MATERIAL_PAWN_E+1.00	=	22,	2309,	80,	9,	137,	0.06569343065693431
PST_KNIGHT_E+1.00	=	23,	2309,	80,	9,	171,	0.05263157894736842
PST_QUEEN_E-1.00	=	24,	2308,	80,	8,	186,	0.043010752688172046
MATERIAL_BISHOP_O+1.00	=	25,	2304,	82,	4,	192,	0.020833333333333332
PST_QUEEN_E+1.00	=	26,	2304,	80,	4,	138,	0.028985507246376812
MATERIAL_PAWN_E-1.00	=	27,	2302,	80,	2,	166,	0.012048192771084338
MATERIAL_ROOK_E+1.00	=	28,	2298,	80,	-2,	152,	-0.013157894736842105
PST_KNIGHT_O-1.00	=	29,	2297,	82,	-3,	133,	-0.022556390977443608
MATERIAL_BISHOP_E+1.00	=	30,	2292,	80,	-8,	156,	-0.05128205128205128
MATERIAL_ROOK_O+1.00	=	31,	2287,	82,	-13,	141,	-0.09219858156028368
MATERIAL_KNIGHT_E-1.00	=	32,	2270,	80,	-30,	150,	-0.2
MATERIAL_KNIGHT_O+1.00	=	33,	2266,	80,	-34,	178,	-0.19101123595505617
MATERIAL_ROOK_O-1.00	=	34,	2250,	80,	-50,	174,	-0.28735632183908044
MATERIAL_KNIGHT_E+1.00	=	35,	2235,	80,	-65,	153,	-0.42483660130718953
MATERIAL_QUEEN_E-1.00	=	36,	2228,	80,	-72,	138,	-0.5217391304347826
MATERIAL_BISHOP_E-1.00	=	37,	2223,	82,	-77,	155,	-0.4967741935483871
MATERIAL_KNIGHT_O-1.00	=	38,	2220,	80,	-80,	154,	-0.5194805194805194
MATERIAL_BISHOP_O-1.00	=	39,	2196,	80,	-104,	154,	-0.6753246753246753
MATERIAL_ROOK_E-1.00	=	40,	2164,	82,	-136,	198,	-0.6868686868686869
MATERIAL_QUEEN_O-1.00	=	41,	2133,	80,	-167,	181,	-0.9226519337016574
